"Month","Borough","Equipment Type","Equipment Code","Total Outages","Scheduled Outages","Unscheduled Outages","Entrapments","Time Since Major Improvement","AM Peak Availability","AM Peak Hours Available","AM Peak Total Hours","PM Peak Availability","PM Peak Hours Available","PM Peak Total Hours","24-Hour Availability","24-Hour Hours Available","24-Hour Total Hours","Station Name","Station MRN","Station Complex Name","Station Complex MRN"
"01/01/2015","Manhattan","Elevator","EL235","3","2","1","0","70","99.03225806452%","122.8","124","100%","124","124","98.69847670251%","734.31666666667","744","47-50STS-ROCKEFELLERCTR-6AV-B/D/F/M","225","47-50 Sts-Rockefeller Ctr - Station","225"
"01/01/2015","Manhattan","Escalator","ES341","7","3","4","0","453","100%","124","124","96.41129032258%","119.55","124","96.98028673835%","721.53333333333","744","BOWLINGGREEN-LEX-4/5","414","Bowling Green - Station","414"
"01/01/2015","Manhattan","Escalator","ES342","4","2","2","0","453","100%","124","124","97.31182795699%","120.66666666667","124","96.86827956989%","720.7","744","BOWLINGGREEN-LEX-4/5","414","Bowling Green - Station","414"
"01/01/2015","Bronx","Elevator","EL196","4","0","4","0","2","98.99193548387%","122.75","124","98.46774193548%","122.1","124","99.14650537634%","737.65","744","HUNTSPOINTAV-PEL-6","371","Hunts Point Av - Station","371"
"01/01/2015","Brooklyn","Elevator","EL343","6","1","5","0","108","97.78225806452%","121.25","124","91.66666666667%","113.66666666667","124","96.02822580645%","714.45","744","EUCLIDAV-8AV-A/C","188","Euclid Av - Station","188"
"01/01/2015","Manhattan","Escalator","ES363X","0","0","0","0","N/A","93.54838709677%","116","124","93.54838709677%","116","124","93.54614695341%","695.98333333333","744","FULTONST-8AV-A/C","172","Fulton St (A,C,J,Z,2,3,4,5)","628"
"01/01/2015","Queens","Elevator","EL428","2","1","1","0","107","100%","124","124","99.97311827957%","123.96666666667","124","98.60663082437%","733.63333333333","744","QUEENSPLAZA-QBL-E/M/R","273","Queens Plaza - Station","273"
"01/01/2015","Brooklyn","Escalator","ES322","10","6","4","0","979","90.79301075269%","112.58333333333","124","90.32258064516%","112","124","88.2773297491%","656.78333333333","744","HIGHST-8AV-A/C","173","High St - Station","173"
"01/01/2015","Bronx","Elevator","EL185","2","1","1","0","97","100%","124","124","97.5%","120.9","124","98.96505376344%","736.3","744","231ST-BWY7-1","295","231 St - Station","295"
"01/01/2015","Queens","Elevator","EL423","6","2","4","0","108","100%","124","124","96.54569892473%","119.71666666667","124","97.39695340502%","724.63333333333","744","74ST-BROADWAY-FLS-7","454","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","616"
"01/01/2015","Manhattan","Elevator","EL232","7","5","2","1","102","97.29838709677%","120.65","124","100%","124","124","96.78987455197%","720.11666666667","744","TIMESSQ-42ST-7AV-1/2/3","317","Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)","611"
"01/01/2015","Manhattan","Elevator","EL403","4","4","0","0","302","100%","124","124","100%","124","124","97.95474910394%","728.78333333333","744","ROOSEVELTISLAND-63S-F","222","Roosevelt Island - Station","222"
"01/01/2015","Manhattan","Elevator","EL278","1","1","0","0","63","100%","124","124","100%","124","124","99.62813620072%","741.23333333333","744","59ST-COLUMBUSCIRCLE-8AV-A/B/C/D","161","59 St-Columbus Circle (A,B,C,D,1)","614"
"01/01/2015","Queens","Elevator","EL436","2","1","1","0","78","100%","124","124","96.97580645161%","120.25","124","99.11738351254%","737.43333333333","744","KEWGARDENS-UNIONTPKE-QBL-E/F","259","Kew Gardens-Union Tpke - Station","259"
"01/01/2015","Manhattan","Elevator","EL328","8","2","6","0","28","97.87634408602%","121.36666666667","124","98.5752688172%","122.23333333333","124","96.98924731183%","721.6","744","BWAY-LAFAYETTEST-6AV-B/D/F/M","230","Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","619"
"01/01/2015","Manhattan","Escalator","ES339","4","2","2","0","453","99.42204301075%","123.28333333333","124","96.77419354839%","120","124","97.51120071685%","725.48333333333","744","BOWLINGGREEN-LEX-4/5","414","Bowling Green - Station","414"
"01/01/2015","Manhattan","Elevator","EL289X","0","0","0","0","N/A","100%","124","124","100%","124","124","100%","744","744","42ST/PORTAUTHORITY-BUSTERMINAL-8AV-A/C/E","163","Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)","611"
"01/01/2015","Manhattan","Escalator","ES608X","0","0","0","0","N/A","96.76075268817%","119.98333333333","124","90.86021505376%","112.66666666667","124","92.87634408602%","691","744","GRANDCENTRAL-42ST-LEX-S","469","Grand Central-42 St (S,4,5,6,7)","610"
"01/01/2015","Manhattan","Escalator","ES234","10","4","6","0","889","98.07795698925%","121.61666666667","124","100%","124","124","98.05331541219%","729.51666666667","744","34ST-HERALDSQ-6AV-B/D/F","227","34 St-Herald Sq (B,D,F,M,N,Q,R)","607"
"01/01/2015","Manhattan","Escalator","ES230","16","4","12","0","889","95.49731182796%","118.41666666667","124","95.38978494624%","118.28333333333","124","96.09318996416%","714.93333333333","744","34ST-HERALDSQ-6AV-B/D/F","227","34 St-Herald Sq (B,D,F,M,N,Q,R)","607"
"01/01/2015","Brooklyn","Elevator","EL321","6","5","1","0","198","97.11021505376%","120.41666666667","124","100%","124","124","96.48297491039%","717.83333333333","744","CHURCHAV-NOS-2/5","356","Church Av - Station","356"
"01/01/2015","Manhattan","Elevator","EL202","6","2","4","0","306","100%","124","124","95.30913978495%","118.18333333333","124","96.06630824373%","714.73333333333","744","51ST-LEX-6","401","Lexington Av-53 St (E,M)/51 St (6)","612"
"01/01/2015","Bronx","Elevator","EL138","4","1","3","0","86","88.73655913978%","110.03333333333","124","87.09677419355%","108","124","86.86827956989%","646.3","744","PELHAMPKWY-LWP-2/5","424","Pelham Pkwy - Station","424"
"01/01/2015","Manhattan","Escalator","ES312","2","1","1","0","366","100%","124","124","99.50268817204%","123.38333333333","124","99.43772401434%","739.81666666667","744","WHITEHALLST-SOUTHFERRY-BWY-R","23","South Ferry (1)/Whitehall St (R)","635"
"01/01/2015","Manhattan","Elevator","EL730","0","0","0","0","70",,"0","0",,"0","0",,"0","0","SOUTHFERRY-7AV-1","330","South Ferry (1)/Whitehall St (R)","635"
"01/01/2015","Manhattan","Elevator","EL722","3","2","1","0","13","100%","124","124","96.77419354839%","120","124","97.76209677419%","727.35","744","FULTONST-NAS-J/Z","106","Fulton St (A,C,J,Z,2,3,4,5)","628"
"01/01/2015","Queens","Escalator","ES427","7","4","3","0","313","100%","124","124","98.97849462366%","122.73333333333","124","97.35663082437%","724.33333333333","744","JAMAICAVANWYCK-QBL-E","280","Jamaica Van Wyck - Station","280"
"01/01/2015","Brooklyn","Escalator","ES310","14","4","10","0","1112","99.95967741935%","123.95","124","95.41666666667%","118.31666666667","124","94.06362007168%","699.83333333333","744","ATLANTICAV-BARCLAYSCTR-BWY-B/Q","40","Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)","617"
"01/01/2015","Queens","Elevator","EL420","3","2","1","0","108","94.98655913978%","117.78333333333","124","100%","124","124","97.645609319%","726.48333333333","744","74ST-BROADWAY-FLS-7","454","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","616"
"01/01/2015","Queens","Elevator","EL434","5","4","1","0","78","99.86559139785%","123.83333333333","124","98.89784946237%","122.63333333333","124","98.14740143369%","730.21666666667","744","KEWGARDENS-UNIONTPKE-QBL-E/F","259","Kew Gardens-Union Tpke - Station","259"
"01/01/2015","Manhattan","Escalator","ES607X","0","0","0","0","N/A","98.76344086022%","122.46666666667","124","100%","124","124","98.67159498208%","734.11666666667","744","42ST/PORTAUTHORITY-BUSTERMINAL-8AV-A/C/E","163","Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)","611"
"01/01/2015","Manhattan","Escalator","ES235","6","1","5","0","889","98.53494623656%","122.18333333333","124","98.56182795699%","122.21666666667","124","98.65815412186%","734.01666666667","744","34ST-HERALDSQ-6AV-B/D/F","227","34 St-Herald Sq (B,D,F,M,N,Q,R)","607"
"01/01/2015","Manhattan","Elevator","EL181","2","2","0","0","80","100%","124","124","100%","124","124","98.9314516129%","736.05","744","135ST-LWP-2/3","438","135 St - Station","438"
"01/01/2015","Manhattan","Elevator","EL336","1","0","1","0","69","100%","124","124","100%","124","124","99.83870967742%","742.8","744","CHAMBERSST-7AV-1/2/3","327","Chambers St - Station","327"
"01/01/2015","Bronx","Elevator","EL183","2","0","2","1","93","99.18010752688%","122.98333333333","124","98.61559139785%","122.28333333333","124","99.53181003584%","740.51666666667","744","GUNHILLRD-LWP-2/5","421","Gun Hill Rd - Station","421"
"01/01/2015","Queens","Elevator","EL405","4","3","1","0","302","99.78494623656%","123.73333333333","124","99.00537634409%","122.76666666667","124","97.46639784946%","725.15","744","21ST-QUEENSBRIDGE-63S-F","221","21 St-Queensbridge - Station","221"
"01/01/2015","Bronx","Elevator","EL192","7","0","7","2","93","92.44623655914%","114.63333333333","124","99.65053763441%","123.56666666667","124","96.28360215054%","716.35","744","233ST-LWP-2/5","418","233 St - Station","418"
"01/01/2015","Manhattan","Escalator","ES362X","0","0","0","0","N/A","100%","124","124","100%","124","124","100%","744","744","FULTONST-LEX-4/5","412","Fulton St (A,C,J,Z,2,3,4,5)","628"
"01/01/2015","Manhattan","Escalator","ES340","7","2","5","0","453","97.6747311828%","121.11666666667","124","97.84946236559%","121.33333333333","124","97.39471326165%","724.61666666667","744","BOWLINGGREEN-LEX-4/5","414","Bowling Green - Station","414"
"01/01/2015","Brooklyn","Elevator","EL312","3","3","0","0","999","100%","124","124","100%","124","124","98.93817204301%","736.1","744","CLARKST-CLK-2/3","334","Clark St - Station","334"
"01/01/2015","Manhattan","Escalator","ES206","5","3","2","0","725","99.51870187019%","120.61666666667","121.2","95.87365591398%","118.88333333333","124","98.14504059141%","721.33333333333","734.96666666667","GRANDCENTRAL-42ST-LEX-4/5/6","402","Grand Central-42 St (S,4,5,6,7)","610"
"01/01/2015","Brooklyn","Elevator","EL391","2","1","1","0","123","100%","124","124","97.24462365591%","120.58333333333","124","98.94489247312%","736.15","744","MARCYAV-JAM-J/M/Z","101","Marcy Av - Station","101"
"01/01/2015","Brooklyn","Escalator","ES356","12","6","6","0","49","96.39784946237%","119.53333333333","124","99.75806451613%","123.7","124","96.9041218638%","720.96666666667","744","JAYST-METROTECH-BWY-R","25","Jay St-MetroTech (A,C,F,R)","636"
"01/01/2015","Manhattan","Elevator","EL200X","0","0","0","0","N/A","100%","124","124","100%","124","124","100%","744","744","34ST-HERALDSQ-BWY-M/N/R/Q","12","34 St-Herald Sq (B,D,F,M,N,Q,R)","607"
"01/01/2015","Brooklyn","Elevator","EL374","0","0","0","0","78","100%","124","124","100%","124","124","100%","744","744","CHURCHAV-6AV-F/G","243","Church Av - Station","243"
"01/01/2015","Manhattan","Escalator","ES242","2","0","2","0","664","99.42204301075%","123.28333333333","124","100%","124","124","99.83198924731%","742.75","744","5AV/53ST-QBL-E/M","276","5 Av/53 St - Station","276"
"01/01/2015","Queens","Elevator","EL425","2","2","0","0","95","100%","124","124","100%","124","124","98.77688172043%","734.9","744","JUNCTIONBLVD-FLS-7","451","Junction Blvd - Station","451"
"01/01/2015","Manhattan","Elevator","EL213","3","2","1","0","252","100%","124","124","98.11827956989%","121.66666666667","124","97.99955197133%","729.11666666667","744","34ST-HERALDSQ-BWY-M/N/R/Q","12","34 St-Herald Sq (B,D,F,M,N,Q,R)","607"
"01/01/2015","Manhattan","Escalator","ES212","5","4","1","0","626","100%","124","124","100%","124","124","98.77240143369%","734.86666666667","744","59ST-LEX-4/5/6","400","Lexington Av (N,Q,R)/59 St (4,5,6)","613"
"01/01/2015","Manhattan","Escalator","ES203","4","0","4","0","1195","99.38172043011%","123.23333333333","124","95.93006592147%","111.56666666667","116.3","98.45980292845%","712.78333333333","723.93333333333","GRANDCENTRAL-42ST-FLS-7","465","Grand Central-42 St (S,4,5,6,7)","610"
"01/01/2015","Queens","Elevator","EL438","1","1","0","0","8","100%","121.96666666667","121.96666666667","100%","124","124","99.95044821839%","739.6","739.96666666667","FORESTHILLS-71AV-QBL-E/F/M/R","261","Forest Hills-71 Av - Station","261"
"01/01/2015","Manhattan","Escalator","ES328","10","0","10","0","679","97.62096774194%","121.05","124","99.05913978495%","122.83333333333","124","96.83467741935%","720.45","744","DELANCEYST-ESSEXST-6AV-F","233","Delancey St (F)/Essex St (J,M,Z)","625"
"01/01/2015","Queens","Escalator","ES497X","0","0","0","0","N/A","96.77419354839%","120","124","96.77419354839%","120","124","97.60976702509%","726.21666666667","744","HOWARDBEACH-JFKAIRPORT-RKY-A","198","Howard Beach-JFK Airport - Station","198"
"01/01/2015","Queens","Elevator","EL437","10","4","6","1","8","93.49462365591%","115.93333333333","124","96.73387096774%","119.95","124","96.14023297491%","715.28333333333","744","FORESTHILLS-71AV-QBL-E/F/M/R","261","Forest Hills-71 Av - Station","261"
"01/01/2015","Manhattan","Escalator","ES223","6","1","5","0","889","98.38709677419%","122","124","99.8252688172%","123.78333333333","124","98.82168458781%","735.23333333333","744","34ST-HERALDSQ-6AV-B/D/F","227","34 St-Herald Sq (B,D,F,M,N,Q,R)","607"
"01/01/2015","Manhattan","Escalator","ES372","0","0","0","0","70",,"0","0",,"0","0",,"0","0","SOUTHFERRY-7AV-1","330","South Ferry (1)/Whitehall St (R)","635"
"01/01/2015","Manhattan","Elevator","EL716","2","1","1","0","2","100%","121.23333333333","121.23333333333","100%","120","120","99.11050527921%","714.96666666667","721.38333333333","FULTONST-LEX-4/5","412","Fulton St (A,C,J,Z,2,3,4,5)","628"
"01/01/2015","Queens","Elevator","EL430","0","0","0","0","107","100%","124","124","100%","124","124","100%","744","744","QUEENSPLAZA-QBL-E/M/R","273","Queens Plaza - Station","273"
"01/01/2015","Brooklyn","Elevator","EL398","1","1","0","0","83","100%","124","124","100%","124","124","99.33915770609%","739.08333333333","744","MYRTLE-WYCKOFFAVS-MYT-M","112","Myrtle-Wyckoff Avs (L,M)","630"
"01/01/2015","Queens","Escalator","ES429","6","2","4","0","73","99.66397849462%","123.58333333333","124","97.40591397849%","120.78333333333","124","97.51344086022%","725.5","744","JAMAICAVANWYCK-QBL-E","280","Jamaica Van Wyck - Station","280"
"01/01/2015","Manhattan","Escalator","ES211","29","7","22","0","626","98.02419354839%","121.55","124","93.49462365591%","115.93333333333","124","93.62210402957%","692.36666666667","739.53333333333","59ST-LEX-4/5/6","400","Lexington Av (N,Q,R)/59 St (4,5,6)","613"
"01/01/2015","Manhattan","Escalator","ES380X","0","0","0","0","N/A","100%","124","124","96.85483870968%","120.1","124","98.21460573477%","730.71666666667","744","CORTLANDTST-BWY-R","21","Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt St (R, W)","624"
"01/01/2015","Queens","Escalator","ES421","12","4","8","0","303","97.66129032258%","121.1","124","96.45161290323%","119.6","124","96.52105734767%","718.11666666667","744","21ST-QUEENSBRIDGE-63S-F","221","21 St-Queensbridge - Station","221"
"01/01/2015","Queens","Escalator","ES422","5","1","4","0","303","96.77419354839%","120","124","95.69892473118%","118.66666666667","124","95.04704301075%","707.15","744","21ST-QUEENSBRIDGE-63S-F","221","21 St-Queensbridge - Station","221"
"01/01/2015","Manhattan","Escalator","ES420","5","4","1","0","303","100%","124","124","100%","124","124","97.95698924731%","728.8","744","ROOSEVELTISLAND-63S-F","222","Roosevelt Island - Station","222"
"01/01/2015","Queens","Elevator","EL445X","0","0","0","0","N/A","81.39784946237%","100.93333333333","124","80.64516129032%","100","124","81.97356630824%","609.88333333333","744","COURTSQ-FLS-7","462","Court Sq (E,G,M,7)","606"
"01/01/2015","Manhattan","Elevator","EL233","1","0","1","0","102","98.15860215054%","121.71666666667","124","100%","124","124","99.69310035842%","741.71666666667","744","TIMESSQ-42ST-7AV-1/2/3","317","Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)","611"
"01/01/2015","Manhattan","Elevator","EL324","3","3","0","0","162","100%","124","124","100%","124","124","99.13306451613%","737.55","744","CANALST-LEX-6","410","Canal St (J,N,Q,R,Z,6)","623"
"01/01/2015","Manhattan","Elevator","EL723","0","0","0","0","14","100%","124","124","100%","124","124","100%","744","744","FULTONST-8AV-A/C","172","Fulton St (A,C,J,Z,2,3,4,5)","628"
"01/01/2015","Queens","Escalator","ES430","2","1","1","0","313","99.09946236559%","122.88333333333","124","100%","124","124","99.61917562724%","741.16666666667","744","JAMAICAVANWYCK-QBL-E","280","Jamaica Van Wyck - Station","280"
"01/01/2015","Brooklyn","Elevator","EL301","6","6","0","0","129","99.16666666667%","122.96666666667","124","100%","124","124","97.0564516129%","722.1","744","ATLANTICAV-BARCLAYSCTR-4AV-D/N/R","27","Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)","617"
"01/01/2015","Brooklyn","Escalator","ES317","13","3","10","0","680","97.09677419355%","120.4","124","95.36290322581%","118.25","124","97.46191756272%","725.11666666667","744","JAYST-METROTECH-8AV-A/C/F","174","Jay St-MetroTech (A,C,F,R)","636"
"01/01/2015","Manhattan","Elevator","EL728X","0","0","0","0","N/A","96.77419354839%","120","124","96.77419354839%","120","124","97.60528673835%","726.18333333333","744","FULTONST-LEX-4/5","412","Fulton St (A,C,J,Z,2,3,4,5)","628"
"01/01/2015","Bronx","Elevator","EL160","2","1","1","0","31","99.27419354839%","123.1","124","100%","124","124","99.38396057348%","739.41666666667","744","E180ST-LWP-2/5","426","E 180 St - Station","426"
"01/01/2015","Manhattan","Escalator","ES383X","0","0","0","0","N/A","100%","124","124","100%","124","124","100%","744","744","FULTONST-LEX-4/5","412","Fulton St (A,C,J,Z,2,3,4,5)","628"
"01/01/2015","Manhattan","Escalator","ES253X","0","0","0","0","N/A","100%","124","124","100%","124","124","100%","744","744","LEXINGTONAV/53ST-QBL-E/M","275","Lexington Av-53 St (E,M)/51 St (6)","612"
"01/01/2015","Manhattan","Escalator","ES215","6","1","5","0","676","99.12634408602%","122.91666666667","124","100%","124","124","98.94041218638%","736.11666666667","744","LEXINGTONAV/59ST-AST-N/R/Q","7","Lexington Av (N,Q,R)/59 St (4,5,6)","613"
"01/01/2015","Queens","Escalator","ES453","0","0","0","0","278",,"0","0",,"0","0",,"0","0","JACKSONHTS-ROOSEVELTAV-QBL-E/F/M/R","267","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","616"
"01/01/2015","Manhattan","Elevator","EL401","0","0","0","0","302",,"0","0",,"0","0",,"0","0","LEXINGTONAV/63ST-63S-F/Q","223","Lexington Av/63 St - Station","223"
"01/01/2015","Manhattan","Elevator","EL218","5","3","2","0","176","97.0564516129%","120.35","124","96.77419354839%","120","124","94.78718637993%","705.21666666667","744","14ST-UNIONSQ-CNR-L","117","14 St-Union Sq (L,N,Q,R,4,5,6)","602"
"01/01/2015","Manhattan","Elevator","EL126","3","3","0","0","302","100%","124","124","100%","124","124","98.0667562724%","729.61666666667","744","125ST-LEX-4/5/6","392","125 St - Station","392"
"01/01/2015","Brooklyn","Escalator","ES308","30","2","28","0","645","87.43279569892%","108.41666666667","124","78.84408602151%","97.76666666667","124","80.23521505376%","596.95","744","DEKALBAV-4AV-B/Q/R","26","DeKalb Av - Station","26"
"01/01/2015","Manhattan","Elevator","EL222","2","2","0","0","148","100%","124","124","100%","124","124","98.76344086022%","734.8","744","14ST-8AV-A/C/E","166","14 St (A,C,E)/8 Av (L)","618"
"01/01/2015","Brooklyn","Elevator","EL761","0","0","0","0","39","100%","124","124","100%","124","124","100%","744","744","KINGSHWY-BWY-B/Q","51","Kings Hwy - Station","51"
"01/01/2015","Manhattan","Elevator","EL103","16","8","8","4","1060","65.25537634409%","80.91666666667","124","73.62903225806%","91.3","124","66.55017921147%","495.13333333333","744","191ST-BWY7-1","300","191 St - Station","300"
"01/01/2015","Bronx","Elevator","EL189","4","1","3","1","1","97.66129032258%","121.1","124","97.08333333333%","120.38333333333","124","98.44982078853%","732.46666666667","744","KINGSBRIDGERD-CON-B/D","212","Kingsbridge Rd - Station","212"
"01/01/2015","Bronx","Elevator","EL136","4","2","2","1","86","98.37365591398%","121.98333333333","124","96.77419354839%","120","124","96.67562724014%","719.26666666667","744","PELHAMPKWY-LWP-2/5","424","Pelham Pkwy - Station","424"
"01/01/2015","Brooklyn","Elevator","EL320","15","5","10","4","198","95.92741935484%","118.95","124","93.34677419355%","115.75","124","90.02464157706%","669.78333333333","744","CHURCHAV-NOS-2/5","356","Church Av - Station","356"
"01/01/2015","Bronx","Escalator","ES120","1","1","0","0","304","100%","124","124","100%","124","124","99.59229390681%","740.96666666667","744","PELHAMBAYPARK-PEL-6","360","Pelham Bay Park - Station","360"
"01/01/2015","Manhattan","Elevator","EL124","4","0","4","0","302","100%","124","124","95.90053763441%","118.91666666667","124","98.90008960573%","735.81666666667","744","175ST-8AV-A","147","175 St - Station","147"
"01/01/2015","Bronx","Escalator","ES112","6","1","5","0","811","96.38440860215%","119.51666666667","124","98.0376344086%","121.56666666667","124","98.17204301075%","730.4","744","NORWOOD-205ST-CON-D","210","Norwood-205 St - Station","210"
"01/01/2015","Manhattan","Elevator","EL276X","0","0","0","0","N/A","97.09677419355%","120.4","124","100%","124","124","98.99193548387%","736.5","744","59ST-COLUMBUSCIRCLE-8AV-A/B/C/D","161","59 St-Columbus Circle (A,B,C,D,1)","614"
"01/01/2015","Manhattan","Elevator","EL329","2","1","1","0","28","100%","124","124","100%","124","124","99.17786738351%","737.88333333333","744","BWAY-LAFAYETTEST-6AV-B/D/F/M","230","Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","619"
"01/01/2015","Manhattan","Escalator","ES102","19","2","17","0","1315","89.58333333333%","111.08333333333","124","91.49193548387%","113.45","124","94.91935483871%","706.2","744","125ST-BWY7-1","306","125 St - Station","306"
"01/01/2015","Bronx","Elevator","EL121","1","1","0","0","303","100%","124","124","100%","124","124","99.59229390681%","740.96666666667","744","PELHAMBAYPARK-PEL-6","360","Pelham Bay Park - Station","360"
"01/01/2015","Manhattan","Elevator","EL279","2","2","0","0","63","100%","124","124","100%","124","124","99.3167562724%","738.91666666667","744","59ST-COLUMBUSCIRCLE-8AV-A/B/C/D","161","59 St-Columbus Circle (A,B,C,D,1)","614"
"01/01/2015","Manhattan","Elevator","EL216","2","2","0","0","135","100%","124","124","100%","124","124","99.39068100358%","739.46666666667","744","34ST-PENNSTATION-7AV-1/2/3","318","34 St-Penn Station - Station","318"
"01/01/2015","Manhattan","Elevator","EL729X","0","0","0","0","N/A","100%","124","124","100%","124","124","100%","744","744","FULTONST-LEX-4/5","412","Fulton St (A,C,J,Z,2,3,4,5)","628"
"01/01/2015","Manhattan","Escalator","ES408","2","2","0","0","303","100%","123.58333333333","123.58333333333","100%","124","124","98.40860215054%","724.53333333333","736.25","LEXINGTONAV/63ST-63S-F/Q","223","Lexington Av/63 St - Station","223"
"01/01/2015","Manhattan","Escalator","ES243","3","3","0","0","616","99.32795698925%","123.16666666667","124","100%","124","124","98.12724014337%","730.06666666667","744","LEXINGTONAV/53ST-QBL-E/M","275","Lexington Av-53 St (E,M)/51 St (6)","612"
"01/01/2015","Manhattan","Escalator","ES252","4","4","0","0","306","100%","124","124","100%","124","124","98.22580645161%","730.8","744","51ST-LEX-6","401","Lexington Av-53 St (E,M)/51 St (6)","612"
"01/01/2015","Manhattan","Elevator","EL117","0","0","0","0","991","100%","124","124","100%","124","124","100%","744","744","181ST-8AV-A","146","181 St - Station","146"
"01/01/2015","Queens","Elevator","EL422","2","2","0","0","108","100%","124","124","100%","124","124","98.48790322581%","732.75","744","JACKSONHTS-ROOSEVELTAV-QBL-E/F/M/R","267","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","616"
"01/01/2015","Brooklyn","Elevator","EL345","2","0","2","1","8","98.29301075269%","121.88333333333","124","100%","124","124","99.32123655914%","738.95","744","UTICAAV-8AV-A/C","181","Utica Av - Station","181"
"01/01/2015","Manhattan","Elevator","EL337","6","3","3","0","69","99.81182795699%","123.76666666667","124","100%","124","124","97.30734767025%","723.96666666667","744","CHAMBERSST-7AV-1/2/3","327","Chambers St - Station","327"
"01/01/2015","Bronx","Elevator","EL134","3","2","1","0","153","87.09677419355%","108","124","89.89247311828%","111.46666666667","124","88.89784946237%","661.4","744","161ST-YANKEESTADIUM-CON-B/D","219","161 St-Yankee Stadium (B,D,4)","604"
"01/01/2015","Manhattan","Elevator","EL315","4","4","0","0","266","100%","124","124","100%","124","124","97.63664874552%","726.41666666667","744","BROOKLYNBRIDGE-CITYHALL-LEX-4/5/6","411","Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)","622"
